ปริมาณฝน(มิลลิเมตร) ราย 3 ชั่วโมง เฉลี่ย 2 สถานี ปี 2022-2024,,,,,,,,,,,,,
300,27/10/2022,27,10,2022,0.1,36.3,1.05,0,0,0,0,0,37.45
301,28/10/2022,28,10,2022,0,0,0,0,0,0,0,0,0
302,29/10/2022,29,10,2022,0,0,0,0,0,0,0,0,0
303,30/10/2022,30,10,2022,0,0,0,0,0,0,0,0,0
304,31/10/2022,31,10,2022,0,0,0,0,0,0,0,0,0
305,1/11/2022,1,11,2022,0,0,0,0,0,0,0,0,0
306,2/11/2022,2,11,2022,0,0,0,0,0,0,0,0,0
307,3/11/2022,3,11,2022,0,0,0,0,0,0,0,0,0
308,4/11/2022,4,11,2022,0,0,0,0,0,0,0,0,0
309,5/11/2022,5,11,2022,0,0,0,0,0,0,0,0,0
310,6/11/2022,6,11,2022,0,0,0,0,0,0,0,0,0
311,7/11/2022,7,11,2022,0,0,0,0,0,0,0,0,0
312,8/11/2022,8,11,2022,0,0,0,0,0,0,0,0,0
313,9/11/2022,9,11,2022,0,0,0,0,0,0,0,0,0
314,10/11/2022,10,11,2022,0,0,0,0,0,0,0,0,0
315,11/11/2022,11,11,2022,0,0,0,0,0,0,0,0,0
316,12/11/2022,12,11,2022,0,0,0,0,0,0,0,0,0
317,13/11/2022,13,11,2022,0,0,0,0,0,0,0,0.65,0.65
318,14/11/2022,14,11,2022,1.6,0.2,0,0,0,2.8,10.4,0.95,15.95
319,15/11/2022,15,11,2022,0,0,0,0,0,0,0,0,0
320,16/11/2022,16,11,2022,0,0,0,0,0,0.15,0,0,0.15
321,17/11/2022,17,11,2022,0,0,0,0,0,0,0,0,0
322,18/11/2022,18,11,2022,0,0,0,0,0,0,7.7,0,7.7
323,19/11/2022,19,11,2022,0,0,0,0,0,0.35,2.8,0,3.15
324,20/11/2022,20,11,2022,0,0,0,0,0,0,0,0.1,0.1
325,21/11/2022,21,11,2022,0,0,0,0,0,0,0,0,0
326,22/11/2022,22,11,2022,0,0,0,0,0,0,0,0,0
327,23/11/2022,23,11,2022,0,0,0,0,0,0.3,0,14.9,15.2
328,24/11/2022,24,11,2022,0.1,0.7,0.1,0.7,0,0,0.05,0.9,2.55
329,25/11/2022,25,11,2022,0,0,0,0,0,0,0,11.5,11.5
330,26/11/2022,26,11,2022,3.1,0.4,0,0,0,0,2.95,0,6.45
331,27/11/2022,27,11,2022,0,0,0,0,0.2,4.7,0,0,4.9
332,28/11/2022,28,11,2022,0,0,0,0,0,0,0,0,0
333,29/11/2022,29,11,2022,0,0,0,0,0,0,0,0,0
334,30/11/2022,30,11,2022,0,0,0,0,0,6.6,0.05,0,6.65
335,1/12/2022,1,12,2022,0,0,0,0,0,0,0,0,0
336,2/12/2022,2,12,2022,0.5,0,0,0,0,0,0,0,0.5
337,3/12/2022,3,12,2022,0,0,0,0,0,0,0,0,0
338,4/12/2022,4,12,2022,0,0,0,0,0,0,1.4,0,1.4
339,5/12/2022,5,12,2022,0,0,0,0,0,0,0,0,0
340,6/12/2022,6,12,2022,0,0,1.1,0,0,0,0,0,1.1
341,7/12/2022,7,12,2022,0,0,0,0,0,0,0.45,0.95,1.4
342,8/12/2022,8,12,2022,0,0,0,0,0,0,0,0,0
343,9/12/2022,9,12,2022,0,0,0,0,0,0,0,0,0
344,10/12/2022,10,12,2022,0,0,0,0,0,0,0,0,0
345,11/12/2022,11,12,2022,0,0,0,0,0,0,0,0,0
346,12/12/2022,12,12,2022,0,0,0,0,0,0,0,0,0
347,13/12/2022,13,12,2022,0,0,0,0,0,0,0,0,0
348,14/12/2022,14,12,2022,0,0,0,0,0,0,0,0,0
349,15/12/2022,15,12,2022,0,0,0,0,0,0,0,0,0
350,16/12/2022,16,12,2022,0,0,0,0,0,0,0,0,0
351,17/12/2022,17,12,2022,0,0,0,0,0,0,0,0,0
352,18/12/2022,18,12,2022,0,0,0,0,0,0,0,0,0
353,19/12/2022,19,12,2022,0,0,0,0,0,0,0,0,0
354,20/12/2022,20,12,2022,0,0,0,0,0,0,0,0,0
355,21/12/2022,21,12,2022,0,0,0,0,0,0,0,0,0
356,22/12/2022,22,12,2022,0,0,0,0,0,0,0,0,0
357,23/12/2022,23,12,2022,0,0,0,0,0,0,0,0,0
358,24/12/2022,24,12,2022,0,0,0,0,0,0,0,0,0
359,25/12/2022,25,12,2022,0,0,0,0,0,0,0,0,0
360,26/12/2022,26,12,2022,0,0,0,0,0,0,0,0,0
361,27/12/2022,27,12,2022,0,0,0,0,0,0,0,0,0
362,28/12/2022,28,12,2022,0,0,0,0,0,0,0,0,0
363,29/12/2022,29,12,2022,0,0,0,0,0,0,0,0,0
364,30/12/2022,30,12,2022,0,0,0,0,0,0,0,0,0
365,31/12/2022,31,12,2022,0,0,0,0,0,0,0,0,0
366,1/1/2023,1,1,2023,0,0,0,0,0,0,0,0,0
367,2/1/2023,2,1,2023,0,0,0,0,0,0,0,0,0
368,3/1/2023,3,1,2023,0,0,0,0,0,0,0,0,0
369,4/1/2023,4,1,2023,0,0,0,0,0,0,0,0,0
370,5/1/2023,5,1,2023,0,0,0,0,0,0,0,0,0
371,6/1/2023,6,1,2023,0,0,0,0,0,0,0,0,0
372,7/1/2023,7,1,2023,0,0,0,0,0,0,0,0,0
373,8/1/2023,8,1,2023,0,0,0,0,0,0,0,0,0
374,9/1/2023,9,1,2023,0,0,0,0,0,0,0,0,0
375,10/1/2023,10,1,2023,0,0,0,0,0,0,0,0,0
376,11/1/2023,11,1,2023,0,0,0,0,0,0,0,0,0
377,12/1/2023,12,1,2023,0,0,0,0,0,0,0,0,0
378,13/1/2023,13,1,2023,0,0,0,0,0,0,0,0,0
379,14/1/2023,14,1,2023,0,0,0,0,0,0,0,0,0
380,15/1/2023,15,1,2023,0,0,0,0,0,0,0,0,0
381,16/1/2023,16,1,2023,0,0,0,0,0,0,0,0,0
382,17/1/2023,17,1,2023,0,0,0,0,0,0,0,0,0
383,18/1/2023,18,1,2023,0,0,0,0,0,0,0,0,0
384,19/1/2023,19,1,2023,0,0,0,0,0,0,0,0,0
385,20/1/2023,20,1,2023,0,0,0,0,0,0,0,0,0
386,21/1/2023,21,1,2023,0,0,0,0,0,0,0,0,0
387,22/1/2023,22,1,2023,0,0,0,0,0,0,0,0,0
388,23/1/2023,23,1,2023,0,0,0,0,0,0,0,0,0
389,24/1/2023,24,1,2023,0,0,0,0,0,0,0,0,0
390,25/1/2023,25,1,2023,0,0,0,0,0,0,0,0,0
391,26/1/2023,26,1,2023,0,0,0,0,0,0,0,0,0
392,27/1/2023,27,1,2023,0,0,0,0,0,0,0,0,0
393,28/1/2023,28,1,2023,0,0,0,0,0,0,0,0,0
394,29/1/2023,29,1,2023,0,0,0,0,0,0,0,0,0
395,30/1/2023,30,1,2023,0,0,0,0,0,0,0,0,0
396,31/1/2023,31,1,2023,0,0,0,0,0,0,0,0,0
397,1/2/2023,1,2,2023,0,0,0,0,0,0,0,0,0
398,2/2/2023,2,2,2023,0,0,0,0,0,0,0,0,0
399,3/2/2023,3,2,2023,0,0,0,0,0,0,0,0,0
400,4/2/2023,4,2,2023,0,0,0,0,0,0,0,0,0
401,5/2/2023,5,2,2023,0,0,0,0,0,0,0,0,0
402,6/2/2023,6,2,2023,0,0,0,0,0,0,0,0,0
403,7/2/2023,7,2,2023,0,0,0,0,0,0,0,0,0
404,8/2/2023,8,2,2023,0,0,0,0,0,0,0.4,0,0.4
405,9/2/2023,9,2,2023,0,0,0,0,0,5.75,0,0,5.75
406,10/2/2023,10,2,2023,0,0,0,0,0,0,0,0,0
407,11/2/2023,11,2,2023,0,0,0,0,0,0,0,0,0
408,12/2/2023,12,2,2023,0,0,0,0,0,0,0,0,0
409,13/2/2023,13,2,2023,0,0,0,0,0,0,0,0,0
410,14/2/2023,14,2,2023,0,0,0,0,0,0,0,0,0
411,15/2/2023,15,2,2023,0,0,0,1.5,2.8,0.15,0,0,4.45
412,16/2/2023,16,2,2023,0,0,0,0,0,0,0,0,0
413,17/2/2023,17,2,2023,0,0,0,0,0,0,0,0,0
414,18/2/2023,18,2,2023,0,0,0,0,0,0,0,0,0
415,19/2/2023,19,2,2023,0,0,0,0,0,0,0,0,0
416,20/2/2023,20,2,2023,0,0,0,0,0,0,0,0,0
417,21/2/2023,21,2,2023,0,0,0,0,0,0,0,0,0
418,22/2/2023,22,2,2023,0,0,0,0,0,0,0,0,0
419,23/2/2023,23,2,2023,0,0,0,0,0,0,0,0,0
420,24/2/2023,24,2,2023,0,0,0,0,0,0,0,0,0
421,25/2/2023,25,2,2023,0,0,0,0,0,0,0,0,0
422,26/2/2023,26,2,2023,0,0,0,0,0,0,0,0,0
423,27/2/2023,27,2,2023,0,0,0,0,0,0,0,0,0
424,28/2/2023,28,2,2023,0,0,0,0,0,0,0,0,0
425,1/3/2023,1,3,2023,0,0,0,0,0,0,0,0,0
426,2/3/2023,2,3,2023,0,0,0,0,0,0,0,0,0
427,3/3/2023,3,3,2023,0,0,0,0,0,0,0,0,0
428,4/3/2023,4,3,2023,0,0,0,0,0,0,0,0,0
429,5/3/2023,5,3,2023,0,0,0,0,0,0,0,0,0
430,6/3/2023,6,3,2023,0,0,0,0,0,0,0,0,0
431,7/3/2023,7,3,2023,0,0,0,0,0,0,0,0,0
432,8/3/2023,8,3,2023,0,0,0,0,0,0,0,0,0
433,9/3/2023,9,3,2023,0,0,0,0,0,0,0,0,0
434,10/3/2023,10,3,2023,0,0,0,0,0,0,0,0,0
435,11/3/2023,11,3,2023,0,0,0,0,0,0,0,0,0
436,12/3/2023,12,3,2023,0,0,0,0,0,0,0,0,0
437,13/3/2023,13,3,2023,2.6,0,0.3,0,0,0,0,0,2.9
438,14/3/2023,14,3,2023,0,0,0,0,0,0,0,0,0
439,15/3/2023,15,3,2023,0,0,0,0,0,0,0,0,0
440,16/3/2023,16,3,2023,0,0,0,0,0,0,0,0,0
441,17/3/2023,17,3,2023,0,0,0,0,0,0,0,0,0
442,18/3/2023,18,3,2023,0,0,0,0,0,0,0,0,0
443,19/3/2023,19,3,2023,0,0,0,0,0,0,0,0,0
444,20/3/2023,20,3,2023,0,0,0,0,0,0,0,0,0
445,21/3/2023,21,3,2023,0,0,0,0,0,0,0,0,0
446,22/3/2023,22,3,2023,0,0,0,0,0,0,0,0,0
447,23/3/2023,23,3,2023,0,0,0,0,0,0,0,0,0
448,24/3/2023,24,3,2023,0,0,0,0,0,0,0,0,0
449,25/3/2023,25,3,2023,0,0,0,0,0,0,0,0,0
450,26/3/2023,26,3,2023,0,0,0,0,0,0,0,0,0
451,27/3/2023,27,3,2023,0,0,0,0,0,0,0,0,0
452,28/3/2023,28,3,2023,0,0,0,0,0,0,0,0,0
453,29/3/2023,29,3,2023,0,0,0,0,0,0,0,0,0
454,30/3/2023,30,3,2023,0,0,0,0,0,0,0,0,0
455,31/3/2023,31,3,2023,0,0,0,0,0,0,0,0,0
456,1/4/2023,1,4,2023,0,0,0,0,0,0,0,0,0
457,2/4/2023,2,4,2023,0,0,0,0,0,3.8,0,0,3.8
458,3/4/2023,3,4,2023,0,0,0,0,0,0,0,0,0
459,4/4/2023,4,4,2023,0,0,0,0,0,0,0,0,0
460,5/4/2023,5,4,2023,0,0,0,0,0,0,0,0,0
461,6/4/2023,6,4,2023,0,0,0,0,0,0,0,0,0
462,7/4/2023,7,4,2023,0,0,0,0,0,0,0,0,0
463,8/4/2023,8,4,2023,0,0,0,0,0,0,0,0,0
464,9/4/2023,9,4,2023,0,0,0,0,0,0,0,0,0
465,10/4/2023,10,4,2023,0,0,0,0,0,0,0,0,0
466,11/4/2023,11,4,2023,0,0,0,0,0,0,0,0,0
467,12/4/2023,12,4,2023,0,0,0,0,0,0,0,0,0
468,13/4/2023,13,4,2023,0,0,0,0,0,0,0,0,0
469,14/4/2023,14,4,2023,0,0,0,0,0,0,0,0,0
470,15/4/2023,15,4,2023,0,0,0,0,0,0,0,0,0
471,16/4/2023,16,4,2023,0,0,0,0,0,0,0,0,0
472,17/4/2023,17,4,2023,0,0,0,0,0,0,0,0,0
473,18/4/2023,18,4,2023,0,0,0,0,0,0,0,0,0
474,19/4/2023,19,4,2023,0,0,0,0,0,0,0,0,0
475,20/4/2023,20,4,2023,0,0,0,0,0,0,0,0,0
476,21/4/2023,21,4,2023,0,0,0,0,0,0,0,0,0
477,22/4/2023,22,4,2023,0,0,0,0,0,0,0,0,0
478,23/4/2023,23,4,2023,0,0,0,0,0,0,0,0,0
479,24/4/2023,24,4,2023,0,0,0,0,0,0,0,0,0
480,25/4/2023,25,4,2023,0,0,0,0,0,0.4,1,0,1.4
481,26/4/2023,26,4,2023,0,6.7,0,0,1.15,0,0,0,7.85
482,27/4/2023,27,4,2023,0,0,0,0,0,0,0.2,0,0.2
483,28/4/2023,28,4,2023,0,0,0,0,0,0,0,0,0
484,29/4/2023,29,4,2023,0,0,0,0,0.05,1,2.45,0,3.5
485,30/4/2023,30,4,2023,0,0,0,0.6,26.55,0,0,0,27.15
486,1/5/2023,1,5,2023,0,0,0,0,0,0,0,0,0
487,2/5/2023,2,5,2023,0,0,0,0,0,0.5,0.4,0.2,1.1
488,3/5/2023,3,5,2023,0,0,0,0,0,0,0,0,0
489,4/5/2023,4,5,2023,0,0,0,0,0,0,0,0,0
490,5/5/2023,5,5,2023,0,0,0,0,0,0,0,0,0
491,6/5/2023,6,5,2023,0,0,0,0,0,0,0,0,0
492,7/5/2023,7,5,2023,0,0,0,0,0,0,0,0,0
493,8/5/2023,8,5,2023,0,0,0,0,0,0,0,0,0
494,9/5/2023,9,5,2023,0,0,0,0,0.2,0,0,0,0.2
495,10/5/2023,10,5,2023,0.9,0.1,0,0,0,0,0,8.35,9.35
496,11/5/2023,11,5,2023,0,0,0,0,0.5,3.35,0,0,3.85
497,12/5/2023,12,5,2023,0,0,0,0,0,0,0,0,0
498,13/5/2023,13,5,2023,4.4,0.1,0,0,0,0,0,0,4.5
499,14/5/2023,14,5,2023,0.8,7.7,0,0,0,0,0.3,0,8.8
500,15/5/2023,15,5,2023,0,0,0,0,0,0,2.2,1.95,4.15
501,16/5/2023,16,5,2023,0,0,0,0,0,0,0,0,0
502,17/5/2023,17,5,2023,0,0,0,0,0,0,0,0,0
503,18/5/2023,18,5,2023,0,0,0,0,0,0,0,0,0
504,19/5/2023,19,5,2023,0,0,0,0,0,0,0,0,0
505,20/5/2023,20,5,2023,0,0,0,0,0,0,0,0,0
506,21/5/2023,21,5,2023,0,0,0,0,0,0,0,0,0
507,22/5/2023,22,5,2023,0,0,0,0,0,0,0,0,0
508,23/5/2023,23,5,2023,0,0,0,0,0,0,1.95,0,1.95
509,24/5/2023,24,5,2023,0,0,0,0,0,0,0,1.95,1.95
510,25/5/2023,25,5,2023,0,0,0,0,0,0,0,0,0
511,26/5/2023,26,5,2023,0,0,0,0,0,0,0,0,0
512,27/5/2023,27,5,2023,4.7,0.4,0,0,0,0,0,0,5.1
513,28/5/2023,28,5,2023,0,0,0.3,0,0,0,0,0,0.3
514,29/5/2023,29,5,2023,0,0,0,0,0.4,0.05,2,14.55,17
515,30/5/2023,30,5,2023,0,0,0,0,0,0,6,0.2,6.2
516,31/5/2023,31,5,2023,0,0,0,0,0,0,0,0,0
517,1/6/2023,1,6,2023,0,0,0,0,0,0,0,0,0
518,2/6/2023,2,6,2023,0,0,0,0,0,0,0,0.15,0.15
519,3/6/2023,3,6,2023,0,0,0,0,0,0,0,8.6,8.6
520,4/6/2023,4,6,2023,0.25,0,0,0,0,0,0,0,0.25
521,5/6/2023,5,6,2023,0,0,0,0,0,0,0,0,0
522,6/6/2023,6,6,2023,0,0,0,0,0,2,0.35,0.6,2.95
523,7/6/2023,7,6,2023,0,0,0,0,0,0,0,19.4,19.4
524,8/6/2023,8,6,2023,2.6,0.6,0,0,0.05,0,0.15,0,3.4
525,9/6/2023,9,6,2023,0,0.1,0.15,0,0,0,0,0,0.25
526,10/6/2023,10,6,2023,0,0,0,0,0.05,0,0,0,0.05
527,11/6/2023,11,6,2023,0,0,0,0,0,0,0,0,0
528,12/6/2023,12,6,2023,0,0,0,0,0,1.35,0,0,1.35
529,13/6/2023,13,6,2023,0,0,0,0,0,1.4,0,0,1.4
530,14/6/2023,14,6,2023,0,0,0,0,0,0,0.05,0,0.05
531,15/6/2023,15,6,2023,0,0,0,0,0,0,0,0,0
532,16/6/2023,16,6,2023,0,0,0,0,0.1,0.2,0,0,0.3
533,17/6/2023,17,6,2023,0.1,0.4,0.2,0,0,0.55,0.1,3,4.35
534,18/6/2023,18,6,2023,0,0.4,0,0,0.5,0,23,0.1,24
535,19/6/2023,19,6,2023,0,0,0,0,0,0,0,0,0
536,20/6/2023,20,6,2023,0,0,0,0,0,0,0,0,0
537,21/6/2023,21,6,2023,0,0,0,0,0,0,0,0,0
538,22/6/2023,22,6,2023,0,0.2,0,0,0,0,0,0,0.2
539,23/6/2023,23,6,2023,0,0,0,0,0,0,0,2.7,2.7
540,24/6/2023,24,6,2023,0,0.2,0,0,0,0,0,0,0.2
541,25/6/2023,25,6,2023,0,0,0,0,0,0,0.1,0,0.1
542,26/6/2023,26,6,2023,0,0,0,0,0,0,0,0,0
543,27/6/2023,27,6,2023,0,0,0,0,0,0,0,0,0
544,28/6/2023,28,6,2023,0,0,0,0,0,0,12.3,14.85,27.15
545,29/6/2023,29,6,2023,0,0,0,0,0,0,6.15,0,6.15
546,30/6/2023,30,6,2023,0,0,0,0,0,0,0,0,0
547,1/7/2023,1,7,2023,0,0.1,11.2,0,0,10.25,0,0,21.55
548,2/7/2023,2,7,2023,0,0.1,0,0,0,5.7,8.5,0.8,15.1
549,3/7/2023,3,7,2023,0.1,0.3,0,0,0,0,0,0,0.4
550,4/7/2023,4,7,2023,0,0,0,0,0.55,0.2,0.05,1.3,2.1
551,5/7/2023,5,7,2023,0.1,0,0.25,0.65,0,0,17.3,4.75,23.05
552,6/7/2023,6,7,2023,0,0,0,0,0,0,0,2.7,2.7
553,7/7/2023,7,7,2023,0,0,0,0,0,0,0,0,0
554,8/7/2023,8,7,2023,0,0,0,0,0.6,0,0,0,0.6
555,9/7/2023,9,7,2023,0.5,0,0,0,17.7,0,0,0,18.2
556,10/7/2023,10,7,2023,0,0,0,0.3,0.05,0,0,0,0.35
557,11/7/2023,11,7,2023,0,0.1,1.1,0.1,0,0,0,0,1.3
558,12/7/2023,12,7,2023,0,0,0,0,0,0,0,0,0
559,13/7/2023,13,7,2023,0,0,0,0,0,0,0.1,3.8,3.9
560,14/7/2023,14,7,2023,0.1,0,0,0,0,0,0,0,0.1
561,15/7/2023,15,7,2023,0,0,0,0,0,0,0,0,0
562,16/7/2023,16,7,2023,0,0,0,0,0,0,0,0,0
563,17/7/2023,17,7,2023,0,0,0,0,0,0,0,0,0
564,18/7/2023,18,7,2023,0,0,0,0,0,0,0,0,0
565,19/7/2023,19,7,2023,0,0,0,0,0,0,0,0,0
566,20/7/2023,20,7,2023,0,0,0,0,0,0,2,0,2
567,21/7/2023,21,7,2023,0,0,0,0,0,0,0,0,0
568,22/7/2023,22,7,2023,12.15,6.1,0,0,0,0,3.3,0,21.55
569,23/7/2023,23,7,2023,0,0,0,0,1.75,0,3,3.15,7.9
570,24/7/2023,24,7,2023,1.95,0.2,0,0,0,0,0,0,2.15
571,25/7/2023,25,7,2023,0,0.85,0,0,0,0,0,0,0.85
572,26/7/2023,26,7,2023,0,0,0,0,0,0,0,0,0
573,27/7/2023,27,7,2023,0,0,0,0,0,0,0,0,0
574,28/7/2023,28,7,2023,0,0,0,0,0,0,0,0,0
575,29/7/2023,29,7,2023,0,0,0,0,0,0,0,0,0
576,30/7/2023,30,7,2023,0,0,0,0,0.9,0,0,0,0.9
577,31/7/2023,31,7,2023,0,0.9,8.55,0,0,0,0,0,9.45
578,1/8/2023,1,8,2023,0,0,0,0,0,0,0.4,0,0.4
579,2/8/2023,2,8,2023,0,0,0,0,0,2,2,0,4
580,3/8/2023,3,8,2023,0,0,0,0,0,1.4,7.6,0,9
581,4/8/2023,4,8,2023,0,0,0,0,0,0,2.1,0,2.1
582,5/8/2023,5,8,2023,0,0,0,0,0,0,1.85,0,1.85
583,6/8/2023,6,8,2023,0,0,0,0,0,0.6,1.5,0,2.1
584,7/8/2023,7,8,2023,0,0,0,0,0,0,0,0,0
585,8/8/2023,8,8,2023,0,0,0,0,0,2.85,3.35,0,6.2
586,9/8/2023,9,8,2023,0,0,0,0,0,0,9.15,2.75,11.9
587,10/8/2023,10,8,2023,0,0,0,0,0,0,0,0,0
588,11/8/2023,11,8,2023,0,0,0,0,0,0,12.3,0.2,12.5
589,12/8/2023,12,8,2023,0,0,0,0,0,0,11.4,11.8,23.2
590,13/8/2023,13,8,2023,0,0,0,0,0,0,0,0,0
591,14/8/2023,14,8,2023,0,0,0,0,0,0,0,0,0
592,15/8/2023,15,8,2023,0,0,0,0,0,0,0.2,0,0.2
593,16/8/2023,16,8,2023,0,0,0,0,0,0,0,0,0
594,17/8/2023,17,8,2023,0,0,0,0,0,0,0,0.05,0.05
595,18/8/2023,18,8,2023,0,0,0,0,0,0,0,0,0
596,19/8/2023,19,8,2023,0,0,0,0,0,0,0,0,0
597,20/8/2023,20,8,2023,0,0,0,0,0,0,0,1.5,1.5
598,21/8/2023,21,8,2023,0.3,0,0,0,0,0.8,0.3,0.8,2.2
599,22/8/2023,22,8,2023,0.3,0,0,0,0,0,1.75,21.85,23.9
600,23/8/2023,23,8,2023,0.1,0,0,0,0,0,6.9,0,7
601,24/8/2023,24,8,2023,0,0,0,0,0,2,0.9,0,2.9
602,25/8/2023,25,8,2023,0,0,0,0,0,0,1,0.1,1.1
603,26/8/2023,26,8,2023,0,0,0,0,0,0,0,0,0
604,27/8/2023,27,8,2023,0,0,0,0,0,0,0,0,0
605,28/8/2023,28,8,2023,0,0,0,0,0,0,0,0,0
606,29/8/2023,29,8,2023,0,0,0,0,0,0,0,0,0
607,30/8/2023,30,8,2023,0,0,0,0,0,0,0,0.5,0.5
608,31/8/2023,31,8,2023,0.2,0.1,3.5,0,0,0,17.15,10.6,31.55
609,1/9/2023,1,9,2023,2.9,0.4,0,0,0,0,0,1,4.3
610,2/9/2023,2,9,2023,0,0,0,0,0,0,0.25,0.15,0.4
